n,tousen
11354,0.907081
11355,0.907089
11356,0.907098
11357,0.907106
11358,0.907114
11359,0.907122
11360,0.90713
11361,0.907138
11362,0.907147
11363,0.907155
11364,0.907163
11365,0.907171
11366,0.907179
11367,0.907187
11368,0.907196
11369,0.907204
11370,0.907212
11371,0.90722
11372,0.907228
11373,0.907236
11374,0.907245
11375,0.907253
11376,0.907261
11377,0.907269
11378,0.907277
11379,0.907197
11380,0.907206
11381,0.907214
11382,0.907222
11383,0.90723
11384,0.907238
11385,0.907246
11386,0.907255
11387,0.907263
11388,0.907271
11389,0.907279
11390,0.907287
11391,0.907207
11392,0.907216
11393,0.907224
11394,0.907232
11395,0.907152
11396,0.90716
11397,0.907169
11398,0.907177
11399,0.907185
11400,0.907193
11401,0.907201
11402,0.907209
11403,0.907217
11404,0.907138
11405,0.907146
11406,0.907154
11407,0.907162
11408,0.90717
11409,0.907179
11410,0.907187
11411,0.907195
11412,0.907203
11413,0.907211
11414,0.907219
11415,0.907227
11416,0.907235
11417,0.907244
11418,0.907252
11419,0.90726
11420,0.907268
11421,0.907276
11422,0.907284
11423,0.907292
11424,0.9073
11425,0.907309
11426,0.907317
11427,0.907325
11428,0.907333
11429,0.907341
11430,0.907349
11431,0.907357
11432,0.907365
11433,0.907373
11434,0.907381
11435,0.90739
11436,0.907398
11437,0.907406
11438,0.907414
11439,0.907422
11440,0.90743
11441,0.907438
11442,0.907446
11443,0.907454
11444,0.907462
11445,0.907471
11446,0.907479
11447,0.907487
11448,0.907495
11449,0.907503
11450,0.907511
11451,0.907519
11452,0.907527
11453,0.907535
11454,0.907543
11455,0.907551
11456,0.907559
11457,0.907567
11458,0.907575
11459,0.907584
11460,0.907592
11461,0.907512
11462,0.907521
11463,0.907529
11464,0.907537
11465,0.907545
11466,0.907553
11467,0.907561
11468,0.907569
11469,0.90749
11470,0.907498
11471,0.907506
11472,0.907514
11473,0.907522
11474,0.90753
11475,0.907538
11476,0.907546
11477,0.907554
11478,0.907475
11479,0.907483
11480,0.907491
11481,0.907499
11482,0.907507
11483,0.907515
11484,0.907436
11485,0.907357
11486,0.907365
11487,0.907286
11488,0.907295
11489,0.907303
11490,0.907311
11491,0.907319
11492,0.907327
11493,0.907335
11494,0.907343
11495,0.907351
11496,0.907359
11497,0.907367
11498,0.907375
11499,0.907296
11500,0.907304
11501,0.907312
11502,0.907234
11503,0.907242
11504,0.907163
11505,0.907171
11506,0.907092
11507,0.9071
11508,0.907108
11509,0.907029
11510,0.907037
11511,0.907045
11512,0.907054
11513,0.907062
11514,0.90707
11515,0.907078
11516,0.907086
11517,0.907094
11518,0.907015
11519,0.907023
11520,0.907031
11521,0.907039
11522,0.907047
11523,0.907055
11524,0.906977
11525,0.906985
11526,0.906993
11527,0.907001
11528,0.907009
11529,0.907017
11530,0.907025
11531,0.907033
11532,0.907041
11533,0.907049
11534,0.907057
11535,0.907065
11536,0.907074
11537,0.907082
11538,0.90709
11539,0.907011
11540,0.907019
11541,0.907027
11542,0.907035
11543,0.907043
11544,0.907051
11545,0.907059
11546,0.907067
11547,0.907075
11548,0.907083
11549,0.907092
11550,0.9071
11551,0.907108
11552,0.907116
11553,0.907124
11554,0.907132
11555,0.90714
11556,0.907148
11557,0.907156
11558,0.907164
11559,0.907172
11560,0.90718
11561,0.907188
11562,0.907196
11563,0.907204
11564,0.907212
11565,0.90722
11566,0.907228
11567,0.907236
11568,0.907244
11569,0.907252
11570,0.90726
11571,0.907268
11572,0.907276
11573,0.907284
11574,0.907292
11575,0.9073
11576,0.907308
11577,0.907316
11578,0.907324
11579,0.907332
11580,0.90734
11581,0.907348
11582,0.907356
11583,0.907364
11584,0.907286
11585,0.907294
11586,0.907302
11587,0.90731
11588,0.907318
11589,0.907326
11590,0.907334
11591,0.907342
11592,0.90735
11593,0.907358
11594,0.907366
11595,0.907374
11596,0.907382
11597,0.90739
11598,0.907398
11599,0.907406
11600,0.907414
11601,0.907422
11602,0.90743
11603,0.907438
11604,0.907446
11605,0.907454
11606,0.907462
11607,0.90747
11608,0.907478
11609,0.907486
11610,0.907494
11611,0.907502
11612,0.907509
11613,0.907431
11614,0.907353
11615,0.907361
11616,0.907369
11617,0.907377
11618,0.907385
11619,0.907393
11620,0.907401
11621,0.907409
11622,0.907417
11623,0.907425
11624,0.907433
11625,0.907441
11626,0.907449
11627,0.907371
11628,0.907379
11629,0.907387
11630,0.907395
11631,0.907403
11632,0.907411
11633,0.907419
11634,0.907427
11635,0.907434
11636,0.907442
11637,0.90745
11638,0.907458
11639,0.907466
11640,0.907474
11641,0.907482
11642,0.90749
11643,0.907498
11644,0.90742
11645,0.907342
11646,0.90735
11647,0.907358
11648,0.90728
11649,0.907288
11650,0.907296
11651,0.907304
11652,0.907312
11653,0.907234
11654,0.907242
11655,0.907164
11656,0.907172
11657,0.907094
11658,0.907102
11659,0.90711
11660,0.907118
11661,0.907126
11662,0.907049
11663,0.907057
11664,0.907064
11665,0.907072
11666,0.90708
11667,0.907088
11668,0.907096
11669,0.907104
11670,0.907112
11671,0.90712
11672,0.907128
11673,0.907136
11674,0.907144
11675,0.907152
11676,0.90716
11677,0.907168
11678,0.907176
11679,0.907184
11680,0.907192
11681,0.9072
11682,0.907208
11683,0.907216
11684,0.907224
11685,0.907146
11686,0.907154
11687,0.907162
11688,0.90717
11689,0.907178
11690,0.907186
11691,0.907194
11692,0.907202
11693,0.907209
11694,0.907217
11695,0.907225
11696,0.907148
11697,0.907156
11698,0.907164
11699,0.907172
11700,0.907094
11701,0.907102
11702,0.90711
11703,0.907118
11704,0.907126
11705,0.907134
11706,0.907142
11707,0.90715
11708,0.907157
11709,0.907165
11710,0.907173
11711,0.907181
11712,0.907189
11713,0.907197
11714,0.907205
11715,0.907213
11716,0.907221
11717,0.907229
11718,0.907237
11719,0.907245
11720,0.907253
11721,0.90726
11722,0.907268
11723,0.907276
11724,0.907284
11725,0.907292
11726,0.907215
11727,0.907223
11728,0.907231
11729,0.907238
11730,0.907246
11731,0.907254
11732,0.907262
11733,0.90727
11734,0.907278
11735,0.907286
11736,0.907294
11737,0.907302
11738,0.90731
11739,0.907232
11740,0.90724
11741,0.907163
11742,0.907171
11743,0.907179
11744,0.907187
11745,0.907195
11746,0.907202
